1 kaneko 0554 0 82 00 00 BG-16-0082-04-010-A 「 「 「
1 kaneko 0554 0 02 00 00 BG-01-4210-01-030-A 衣 ころも 衣
2 kaneko 0554 2 02 00 00 BG-01-4220-02-020-A 衣 ころも 衣
1 kaneko 0554 0 61 00 00 BG-08-0061-10-010-A を を を
1 kaneko 0554 0 47 12 04 BG-02-1527-04-040-A 返し かえす 返す
2 kaneko 0554 2 47 12 04 BG-02-3780-04-010-A 返し かえす 返す
1 kaneko 0554 0 64 00 00 BG-08-0064-16-010-A て て て
1 kaneko 0554 0 47 06 04 BG-02-3330-03-010-A 着 きる 着る
1 kaneko 0554 0 64 00 00 BG-08-0064-16-010-A て て て
1 kaneko 0554 0 47 06 01 BG-02-1513-04-030-A 寝る ねる 寝る
2 kaneko 0554 2 47 06 01 BG-02-3000-11-010-A 寝る ねる 寝る
3 kaneko 0554 2 47 06 01 BG-02-3330-02-050-A 寝る ねる 寝る
4 kaneko 0554 2 47 06 01 BG-02-3391-02-120-A 寝る ねる 寝る
1 kaneko 0554 0 22 00 00 BG-01-1610-01-010-A 時 とき 時
1 kaneko 0554 0 65 00 00 BG-08-0065-07-010-A は は は
1 kaneko 0554 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0554 1 47 21 01 BG-02-3060-01-010-A 思う おもう 思う
1 kaneko 0554 2 47 21 01 BG-01-3061-01-010-A -- おもい 思い
1 kaneko 0554 0 02 00 00 BG-01-2000-06-080-A 人 ひと 人
2 kaneko 0554 2 02 00 00 BG-01-2020-01-020-A 人 ひと 人
1 kaneko 0554 0 61 00 00 BG-08-0061-10-010-A を を を
1 kaneko 0554 0 02 00 00 BG-01-3002-07-030-A 夢 ゆめ 夢
1 kaneko 0554 0 61 00 00 BG-08-0061-05-010-A に に に
1 kaneko 0554 0 47 06 01 BG-02-1556-01-020-C 見る みる 見る
2 kaneko 0554 2 47 06 01 BG-02-3060-01-015-A 見る みる 見る
3 kaneko 0554 2 47 06 01 BG-02-3090-02-010-A 見る みる 見る
4 kaneko 0554 2 47 06 01 BG-02-3510-01-080-C 見る みる 見る
1 kaneko 0554 0 83 00 00 BG-16-0083-04-010-A 」 」 」
1 kaneko 0554 0 62 00 00 BG-08-0062-01-010-A と と と
2 kaneko 0554 2 62 00 00 BG-08-0064-18-010-A と と と
2 kaneko 0554 2 62 00 00 BG-04-1120-05-170-A -- と と
1 kaneko 0554 0 47 21 06 BG-02-3120-01-010-A いえ いう いう
1 kaneko 0554 1 64 00 00 BG-08-0064-26-010-A ば ば ば
1 kaneko 0554 2 64 00 00 BG-04-1120-05-150-A -- ば ば
1 kaneko 0554 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0554 0 02 00 00 BG-01-2000-01-300-A 自分 じぶん 自分
2 kaneko 0554 2 02 00 00 BG-01-2010-01-020-A 自分 じぶん 自分
1 kaneko 0554 0 65 00 00 BG-08-0065-07-010-A は は は
1 kaneko 0554 0 51 50 07 BG-03-1400-04-160-A ひどく ひどい ひどい
1 kaneko 0554 1 47 17 06 BG-02-1600-08-040-A さし迫っ さしせまる さし迫る
1 kaneko 0554 3 47 17 06 BG-01-1531-01-075-A -- さす 差す
