1 kaneko 0608 0 51 51 01 BG-03-3020-04-030-A 恋しい こいしい 恋しい
1 kaneko 0608 0 02 00 00 BG-01-2000-06-080-A 人 ひと 人
2 kaneko 0608 2 02 00 00 BG-01-2020-01-020-A 人 ひと 人
1 kaneko 0608 0 71 00 00 BG-08-0071-01-010-A の の の
1 kaneko 0608 0 02 00 00 BG-01-1010-01-020-A 事 こと 事
1 kaneko 0608 0 61 00 00 BG-08-0061-10-010-A を を を
1 kaneko 0608 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0608 0 55 00 00 BG-03-1000-15-030-A 一途に いちずに 一途に
1 kaneko 0608 1 47 21 04 BG-02-3060-01-010-A 思い おもう 思う
1 kaneko 0608 2 47 21 04 BG-01-3061-01-010-A -- おもい 思い
1 kaneko 0608 0 64 00 00 BG-08-0064-22-010-A ながら ながら ながら
1 kaneko 0608 0 61 00 00 BG-08-0061-05-010-A に に に
1 kaneko 0608 0 47 06 04 BG-02-1513-04-030-A 寝 ねる 寝る
2 kaneko 0608 2 47 06 04 BG-02-3000-11-010-A 寝 ねる 寝る
3 kaneko 0608 2 47 06 04 BG-02-3330-02-050-A 寝 ねる 寝る
4 kaneko 0608 2 47 06 04 BG-02-3391-02-120-A 寝 ねる 寝る
1 kaneko 0608 0 64 00 00 BG-08-0064-16-010-A て て て
1 kaneko 0608 0 47 06 04 BG-02-1556-01-020-C 見 みる 見る
2 kaneko 0608 2 47 06 04 BG-02-3060-01-015-A 見 みる 見る
3 kaneko 0608 2 47 06 04 BG-02-3090-02-010-A 見 みる 見る
4 kaneko 0608 2 47 06 04 BG-02-3510-01-080-C 見 みる 見る
1 kaneko 0608 0 74 54 01 BG-09-0010-04-010-A た た た
1 kaneko 0608 0 02 00 00 BG-01-3002-07-030-A 夢 ゆめ 夢
1 kaneko 0608 0 74 55 06 BG-09-0050-01-030-A な だ だ
1 kaneko 0608 1 64 00 00 BG-01-1113-01-130-A ので ので ので
1 kaneko 0608 2 64 00 00 BG-08-0064-24-010-A -- ので ので
1 kaneko 0608 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0608 0 47 21 01 BG-02-1556-01-020-A 逢う あう 逢う
2 kaneko 0608 2 47 21 01 BG-02-3510-01-010-A 逢う あう 逢う
1 kaneko 0608 0 62 00 00 BG-08-0062-01-010-A と と と
2 kaneko 0608 2 62 00 00 BG-08-0064-18-010-A と と と
2 kaneko 0608 2 62 00 00 BG-04-1120-05-170-A -- と と
1 kaneko 0608 0 47 06 04 BG-02-1556-01-020-C 見 みる 見る
2 kaneko 0608 2 47 06 04 BG-02-3060-01-015-A 見 みる 見る
3 kaneko 0608 2 47 06 04 BG-02-3090-02-010-A 見 みる 見る
4 kaneko 0608 2 47 06 04 BG-02-3510-01-080-C 見 みる 見る
1 kaneko 0608 0 74 54 01 BG-09-0010-04-010-A た た た
1 kaneko 0608 0 21 00 00 BG-07-0010-03-010-A の の の
1 kaneko 0608 1 65 00 00 BG-08-0065-08-010-A も も も
1 kaneko 0608 2 65 00 00 BG-04-1130-01-200-A -- も も
1 kaneko 0608 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0608 0 55 00 00 BG-04-3130-01-040-A やはり やはり やはり
1 kaneko 0608 0 02 00 00 BG-01-2000-01-300-A 自分 じぶん 自分
2 kaneko 0608 2 02 00 00 BG-01-2010-01-020-A 自分 じぶん 自分
1 kaneko 0608 0 71 00 00 BG-08-0071-01-010-A の の の
1 kaneko 0608 0 02 00 00 BG-01-3000-01-020-A 心 こころ 心
2 kaneko 0608 2 02 00 00 BG-01-3061-01-120-A 心 こころ 心
1 kaneko 0608 0 28 00 00 BG-01-1300-01-140-A がら がら がら
1 kaneko 0608 0 62 00 00 BG-08-0062-01-010-A と と と
2 kaneko 0608 2 62 00 00 BG-08-0064-18-010-A と と と
2 kaneko 0608 2 62 00 00 BG-04-1120-05-170-A -- と と
1 kaneko 0608 0 47 06 04 BG-02-1556-01-020-C 見 みる 見る
2 kaneko 0608 2 47 06 04 BG-02-3060-01-015-A 見 みる 見る
3 kaneko 0608 2 47 06 04 BG-02-3090-02-010-A 見 みる 見る
4 kaneko 0608 2 47 06 04 BG-02-3510-01-080-C 見 みる 見る
1 kaneko 0608 0 74 54 01 BG-09-0010-04-010-A た た た
1 kaneko 0608 0 21 00 00 BG-07-0010-03-010-A の の の
1 kaneko 0608 0 74 55 04 BG-09-0050-01-030-A で だ だ
1 kaneko 0608 0 74 18 05 BG-02-1200-01-010-A あっ ある ある
2 kaneko 0608 2 74 18 05 BG-03-1000-07-010-A あっ ある ある
1 kaneko 0608 0 74 54 01 BG-09-0010-04-010-A た た た
1 kaneko 0608 0 69 00 00 BG-08-0069-32-010-A わ わ わ
1 kaneko 0608 0 69 00 00 BG-08-0069-02-020-A い い い
1 kaneko 0608 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0608 0 02 00 00 BG-01-3002-07-030-A 夢 ゆめ 夢
1 kaneko 0608 0 71 00 00 BG-08-0071-01-010-A の の の
1 kaneko 0608 0 22 00 00 BG-01-1770-01-030-A うち うち うち
2 kaneko 0608 2 22 00 00 BG-01-1990-06-070-A うち うち うち
1 kaneko 0608 0 61 00 00 BG-08-0061-05-010-A に に に
1 kaneko 0608 0 65 00 00 BG-08-0065-07-010-A は は は
1 kaneko 0608 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0608 0 47 21 05 BG-02-1556-01-020-A 逢っ あう 逢う
2 kaneko 0608 2 47 21 05 BG-02-3510-01-010-A 逢っ あう 逢う
1 kaneko 0608 0 64 00 00 BG-08-0064-16-010-A て て て
1 kaneko 0608 0 48 48 05 BG-02-3770-05-020-A くれ くれる くれる
1 kaneko 0608 0 74 54 01 BG-09-0010-04-010-A た た た
1 kaneko 0608 0 14 00 00 BG-01-1730-03-030-A あなた あなた あなた
2 kaneko 0608 2 14 00 00 BG-01-1731-02-030-A あなた あなた あなた
3 kaneko 0608 2 14 00 00 BG-01-2000-02-010-A あなた あなた あなた
1 kaneko 0608 0 71 00 00 BG-08-0071-01-010-A の の の
1 kaneko 0608 0 42 00 00 BG-05-0070-01-010-A お お お
1 kaneko 0608 0 02 00 00 BG-01-3000-01-020-A 心 こころ 心
2 kaneko 0608 2 02 00 00 BG-01-3061-01-120-A 心 こころ 心
1 kaneko 0608 0 61 00 00 BG-08-0061-10-010-A を を を
1 kaneko 0608 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0608 0 51 51 07 BG-03-3010-06-020-A 嬉しく うれしい 嬉しい
1 kaneko 0608 1 47 21 05 BG-02-3060-01-010-A 思っ おもう 思う
1 kaneko 0608 2 47 21 05 BG-01-3061-01-010-A -- おもい 思い
1 kaneko 0608 0 74 54 01 BG-09-0010-04-010-A た た た
1 kaneko 0608 0 64 00 00 BG-08-0064-04-010-A が が が
1 kaneko 0608 0 69 00 00 BG-04-3200-03-030-A なあ なあ なあ
2 kaneko 0608 2 69 00 00 BG-08-0069-11-040-A なあ なあ なあ
1 kaneko 0608 0 78 00 00 BG-16-0078-01-010-A 。 。 。
