1 kaneko 0731 0 02 00 00 BG-01-5200-02-010-A 空 そら 空
1 kaneko 0731 0 61 00 00 BG-08-0061-05-010-A に に に
1 kaneko 0731 0 47 13 01 BG-02-1513-01-010-A 立つ たつ 立つ
2 kaneko 0731 2 47 13 01 BG-02-1521-06-020-A 立つ たつ 立つ
3 kaneko 0731 2 47 13 01 BG-02-3330-11-020-A 立つ たつ 立つ
4 kaneko 0731 2 47 13 01 BG-02-3391-02-110-A 立つ たつ 立つ
1 kaneko 0731 0 02 00 00 BG-01-5130-17-010-A 陽炎 かげろう 陽炎
1 kaneko 0731 0 71 00 00 BG-08-0071-01-010-A の の の
1 kaneko 0731 1 23 00 00 BG-03-1300-01-010-A よう よう よう
1 kaneko 0731 2 23 00 00 BG-03-1140-01-070-A -- よう よう
1 kaneko 0731 0 72 00 00 BG-08-0072-02-010-A に に に
1 kaneko 0731 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0731 0 56 00 00 BG-03-1000-02-040-A そう そう そう
1 kaneko 0731 0 70 00 00 BG-08-0069-28-015-A か か か
2 kaneko 0731 2 70 00 00 BG-08-0070-01-010-A か か か
2 kaneko 0731 2 70 00 00 BG-08-0065-14-040-C -- か か
1 kaneko 0731 0 62 00 00 BG-08-0062-01-010-A と と と
2 kaneko 0731 2 62 00 00 BG-08-0064-18-010-A と と と
2 kaneko 0731 2 62 00 00 BG-04-1120-05-170-A -- と と
1 kaneko 0731 1 65 00 00 BG-08-0065-08-010-A も も も
1 kaneko 0731 2 65 00 00 BG-04-1130-01-200-A -- も も
1 kaneko 0731 1 47 21 02 BG-02-3060-01-010-A 思わ おもう 思う
1 kaneko 0731 2 47 21 02 BG-01-3061-01-010-A -- おもい 思い
1 kaneko 0731 0 49 06 04 BG-02-1110-02-010-A れ れる れる
2 kaneko 0731 2 49 06 04 BG-09-0040-02-010-A れ れる れる
1 kaneko 0731 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0731 0 56 00 00 BG-03-1000-02-040-A そう そう そう
1 kaneko 0731 0 74 55 04 BG-09-0050-01-030-A で だ だ
1 kaneko 0731 1 74 52 01 BG-09-0010-01-050-A ない ない ない
1 kaneko 0731 2 74 52 01 BG-03-1200-02-010-A -- ない ない
1 kaneko 0731 0 70 00 00 BG-08-0069-28-015-A か か か
2 kaneko 0731 2 70 00 00 BG-08-0070-01-010-A か か か
2 kaneko 0731 2 70 00 00 BG-08-0065-14-040-C -- か か
