1 kaneko 0884 0 51 50 07 BG-03-3010-08-010-A 面白く おもしろい 面白い
1 kaneko 0884 0 64 00 00 BG-08-0064-16-010-A て て て
1 kaneko 0884 0 47 06 04 BG-02-1556-01-020-C 見 みる 見る
2 kaneko 0884 2 47 06 04 BG-02-3060-01-015-A 見 みる 見る
3 kaneko 0884 2 47 06 04 BG-02-3090-02-010-A 見 みる 見る
4 kaneko 0884 2 47 06 04 BG-02-3510-01-080-C 見 みる 見る
1 kaneko 0884 0 64 00 00 BG-08-0064-16-010-A て て て
1 kaneko 0884 1 65 00 00 BG-08-0065-08-010-A も も も
1 kaneko 0884 2 65 00 00 BG-04-1130-01-200-A -- も も
1 kaneko 0884 0 47 06 04 BG-02-1556-01-020-C 見 みる 見る
2 kaneko 0884 2 47 06 04 BG-02-3060-01-015-A 見 みる 見る
3 kaneko 0884 2 47 06 04 BG-02-3090-02-010-A 見 みる 見る
4 kaneko 0884 2 47 06 04 BG-02-3510-01-080-C 見 みる 見る
1 kaneko 0884 0 64 00 00 BG-08-0064-16-010-A て て て
1 kaneko 0884 1 65 00 00 BG-08-0065-08-010-A も も も
1 kaneko 0884 2 65 00 00 BG-04-1130-01-200-A -- も も
1 kaneko 0884 1 47 17 02 BG-02-3000-07-190-A 見足ら みたる 見足る
1 kaneko 0884 3 47 17 02 BG-02-3090-02-010-A -- みる 見る
1 kaneko 0884 3 47 17 02 BG-02-1900-03-020-A -- たる 足る
1 kaneko 0884 0 74 59 01 BG-03-1200-02-090-A ぬ ぬ ぬ
2 kaneko 0884 2 74 59 01 BG-09-0010-01-010-A ぬ ぬ ぬ
3 kaneko 0884 2 74 59 01 BG-09-0010-03-020-C ぬ ぬ ぬ
1 kaneko 0884 0 21 00 00 BG-07-0010-03-010-A の の の
1 kaneko 0884 0 61 00 00 BG-08-0061-05-010-A に に に
1 kaneko 0884 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0884 0 47 17 01 BG-02-1530-06-010-A 入る はいる 入る
1 kaneko 0884 0 74 60 04 BG-04-3110-02-140-A べき べし べし
2 kaneko 0884 2 74 60 04 BG-09-0010-02-060-C べき べし べし
1 kaneko 0884 0 02 00 00 BG-01-1612-01-020-A 時刻 じこく 時刻
1 kaneko 0884 0 61 00 00 BG-01-1670-03-035-A より より より
2 kaneko 0884 2 61 00 00 BG-08-0061-01-020-A より より より
1 kaneko 0884 1 65 00 00 BG-08-0065-08-010-A も も も
1 kaneko 0884 2 65 00 00 BG-04-1130-01-200-A -- も も
1 kaneko 0884 1 51 50 07 BG-03-1940-01-010-A 早く はやい 早い
1 kaneko 0884 2 51 50 07 BG-03-1660-03-010-A -- はやい 早い
1 kaneko 0884 0 55 00 00 BG-04-3110-02-060-A まあ まあ まあ
1 kaneko 0884 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0884 0 02 00 00 BG-01-1632-01-010-A 月 つき 月
2 kaneko 0884 2 02 00 00 BG-01-5210-05-010-A 月 つき 月
1 kaneko 0884 0 61 00 00 BG-08-0061-07-010-A の の の
1 kaneko 0884 1 47 06 01 BG-02-1210-02-010-A 隠れる かくれる 隠れる
1 kaneko 0884 2 47 06 01 BG-02-3090-02-050-A -- かくれる かくれる
2 kaneko 0884 2 47 06 01 BG-02-3090-02-050-A 隠れる かくれる 隠れる
1 kaneko 0884 0 21 00 00 BG-01-1010-01-020-A 事 こと 事
1 kaneko 0884 0 69 00 00 BG-08-0069-30-010-A よ よ よ
2 kaneko 0884 2 69 00 00 BG-08-0073-07-010-A よ よ よ
1 kaneko 0884 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0884 0 57 00 00 BG-03-1000-03-010-A あの あの あの
1 kaneko 0884 0 02 00 00 BG-01-1632-01-010-A 月 つき 月
2 kaneko 0884 2 02 00 00 BG-01-5210-05-010-A 月 つき 月
