1 KW000063 111 0 16 00 00 BG-01-1641-02-110-C けふ けふ 今日
1 KW000063 121 0 47 02 02 BG-02-1527-01-010-C こ く 来
1 KW000063 122 0 74 59 01 BG-03-1200-02-080-A ず ず ず
2 KW000063 122 2 74 59 01 BG-09-0010-01-010-A ず ず ず
1 KW000063 123 0 65 00 00 BG-08-0065-07-010-A は は は
1 KW000063 211 0 02 00 00 BG-01-1643-04-020-A あす あす 明日
1 KW000063 212 0 65 00 00 BG-08-0065-07-010-A は は は
1 KW000063 221 0 02 00 00 BG-01-5153-07-010-A ゆき ゆき 雪
1 KW000063 222 0 62 00 00 BG-08-0062-01-010-A と と と
2 KW000063 222 2 62 00 00 BG-08-0064-18-010-A と と と
2 KW000063 222 2 62 00 00 BG-04-1120-05-170-A -- と と
1 KW000063 223 0 69 00 00 BG-08-0069-07-010-A ぞ ぞ ぞ
1 KW000063 311 0 47 28 03 BG-02-1540-10-010-A ふり ふる 降る
2 KW000063 311 2 47 28 03 BG-02-5150-03-010-A ふり ふる 降る
1 KW000063 312 0 74 68 02 BG-03-1200-02-090-A な ぬ ぬ
2 KW000063 312 2 74 68 02 BG-09-0010-01-010-A な ぬ ぬ
3 KW000063 312 2 74 68 02 BG-09-0010-03-020-C な ぬ ぬ
1 KW000063 313 0 74 60 20 BG-03-3012-03-250-C まし まし まし
2 KW000063 313 2 74 60 20 BG-09-0010-02-050-C まし まし まし
1 KW000063 411 0 47 44 02 BG-02-1240-06-010-C きえ きゆ 消ゆ
1 KW000063 412 0 74 59 01 BG-03-1200-02-080-A ず ず ず
2 KW000063 412 2 74 59 01 BG-09-0010-01-010-A ず ず ず
1 KW000063 413 0 65 00 00 BG-08-0065-07-010-A は は は
1 KW000063 421 0 47 30 01 BG-02-1200-01-010-C あり あり 有り
1 KW000063 422 0 64 00 00 BG-04-1130-01-181-C とも とも とも
2 KW000063 422 2 64 00 00 BG-08-0064-19-010-A とも とも とも
1 KW000063 511 0 02 00 00 BG-01-5530-12-010-A はな はな 花
1 KW000063 512 0 62 00 00 BG-08-0062-01-010-A と と と
2 KW000063 512 2 62 00 00 BG-08-0064-18-010-A と と と
2 KW000063 512 2 62 00 00 BG-04-1120-05-170-A -- と と
1 KW000063 521 0 47 06 04 BG-02-1556-01-020-C み みる 見る
2 KW000063 521 2 47 06 04 BG-02-3060-01-015-A み みる 見る
3 KW000063 521 2 47 06 04 BG-02-3090-02-010-A み みる 見る
4 KW000063 521 2 47 06 04 BG-02-3510-01-080-C み みる 見る
1 KW000063 522 0 74 60 01 BG-03-3012-03-250-C まし まし まし
2 KW000063 522 2 74 60 01 BG-09-0010-02-050-C まし まし まし
1 KW000063 523 0 65 00 00 BG-08-0065-14-010-C や や や
